id,cell_id,fold
42453,Carolina chickadee::29.0::1,5
434624,Carolina chickadee::29.0::1,2
452616,Carolina chickadee::21.0::0,5
461723,Carolina chickadee::28.0::0,3
463782,Carolina chickadee::24.0::1,1
464199,Carolina chickadee::24.0::0,1
464400,Carolina chickadee::24.0::1,1
466694,Carolina chickadee::24.0::1,5
466695,Carolina chickadee::24.0::1,2
468202,Carolina chickadee::30.0::0,2
468512,Carolina chickadee::31.0::0,3
483022,Carolina chickadee::28.0::1,4
499562,Carolina chickadee::29.0::0,2
534333,Carolina chickadee::30.0::1,1
53721,Carolina chickadee::28.0::1,1
541196,Carolina chickadee::24.0::1,4
564314,Carolina chickadee::24.0::0,2
56591,Carolina chickadee::37.0::0,3
57321,Carolina chickadee::37.0::0,2
616883,Carolina chickadee::24.0::0,4
616885,Carolina chickadee::24.0::1,2
619444,Carolina chickadee::22.0::0,3
637825,Carolina chickadee::30.0::0,1
645975,Carolina chickadee::24.0::1,3
679102,Carolina chickadee::24.0::0,5
70681,Carolina chickadee::28.0::1,2
70980,Carolina chickadee::20.0::0,3
70981,Carolina chickadee::20.0::0,2
726700,Carolina chickadee::24.0::1,4
734763,Carolina chickadee::31.0::0,3
779380,Carolina chickadee::24.0::0,3
796340,Carolina chickadee::31.0::0,2
807462,Carolina chickadee::24.0::1,5
814915,Carolina chickadee::24.0::1,1
814917,Carolina chickadee::24.0::0,1
855745,Carolina chickadee::31.0::0,1
859426,Carolina chickadee::31.0::0,2
870687,Carolina chickadee::29.0::1,1
871689,Carolina chickadee::28.0::1,1
877868,Carolina chickadee::31.0::0,5
891557,Carolina chickadee::26.0::1,1
891559,Carolina chickadee::26.0::1,2
893544,Carolina chickadee::28.0::1,1
893545,Carolina chickadee::28.0::0,2
893548,Carolina chickadee::28.0::1,5
893549,Carolina chickadee::28.0::0,1
933604,Carolina chickadee::28.0::0,1
933605,Carolina chickadee::28.0::1,2
933606,Carolina chickadee::28.0::1,3
938770,Carolina chickadee::28.0::1,3
955593,Carolina chickadee::27.0::1,1
955916,Carolina chickadee::27.0::0,2
97243,Carolina chickadee::26.0::0,1
1007042,marsh wren::15.0::1,1
1034305,marsh wren::30.0::1,3
103458,marsh wren::18.0::1,4
1045440,marsh wren::5.0::1,4
105804,marsh wren::23.0::0,3
105805,marsh wren::23.0::0,2
107830,marsh wren::5.0::1,1
1087231,marsh wren::12.0::1,1
1091188,marsh wren::33.0::1,5
1091189,marsh wren::33.0::1,4
1091191,marsh wren::33.0::1,1
110106,marsh wren::11.0::1,1
1102423,marsh wren::5.0::1,2
1106480,marsh wren::37.0::1,3
113795,marsh wren::15.0::1,3
113796,marsh wren::15.0::1,1
1215,marsh wren::30.0::1,4
126480,marsh wren::32.0::0,1
128237,marsh wren::32.0::1,5
129803,marsh wren::32.0::1,4
130803,marsh wren::31.0::1,4
135633,marsh wren::28.0::1,1
135636,marsh wren::28.0::0,1
136031,marsh wren::27.0::1,4
137829,marsh wren::30.0::1,1
139905,marsh wren::10.0::1,5
140639,marsh wren::30.0::1,5
140642,marsh wren::30.0::0,2
143630,marsh wren::23.0::1,1
143795,marsh wren::33.0::1,5
144600,marsh wren::27.0::0,2
14862,marsh wren::12.0::1,3
14863,marsh wren::11.0::1,5
14865,marsh wren::16.0::1,1
14867,marsh wren::16.0::1,2
149218,marsh wren::15.0::1,4
149346,marsh wren::15.0::1,3
149447,marsh wren::31.0::1,2
152397,marsh wren::37.0::0,3
152402,marsh wren::32.0::1,3
172798,marsh wren::5.0::1,2
173279,marsh wren::33.0::1,1
173722,marsh wren::31.0::1,3
177584,marsh wren::33.0::1,1
178010,marsh wren::32.0::1,4
178295,marsh wren::22.0::0,2
181128,marsh wren::32.0::1,4
181129,marsh wren::32.0::1,5
182751,marsh wren::9.0::1,2
185485,marsh wren::30.0::1,1
185612,marsh wren::11.0::1,1
185613,marsh wren::11.0::0,5
185614,marsh wren::11.0::0,2
185615,marsh wren::11.0::0,3
185616,marsh wren::11.0::1,3
188517,marsh wren::33.0::1,3
188846,marsh wren::33.0::1,4
199954,marsh wren::18.0::1,2
200970,marsh wren::18.0::1,4
20466,marsh wren::28.0::1,2
210945,marsh wren::22.0::1,3
212700,marsh wren::33.0::1,4
212701,marsh wren::33.0::1,5
213717,marsh wren::32.0::1,1
213718,marsh wren::32.0::1,2
215695,marsh wren::25.0::1,1
217231,marsh wren::25.0::1,3
217237,marsh wren::25.0::1,2
221118,marsh wren::37.0::1,1
221119,marsh wren::37.0::1,1
221120,marsh wren::33.0::1,2
221121,marsh wren::33.0::1,4
221122,marsh wren::33.0::1,3
221124,marsh wren::25.0::1,4
233660,marsh wren::33.0::0,4
235949,marsh wren::32.0::1,5
236586,marsh wren::5.0::1,3
246066,marsh wren::33.0::1,1
264257,marsh wren::25.0::1,5
264968,marsh wren::30.0::1,2
279590,marsh wren::27.0::1,2
279591,marsh wren::27.0::0,3
279630,marsh wren::27.0::1,1
279632,marsh wren::27.0::1,1
279633,marsh wren::27.0::0,1
279635,marsh wren::27.0::1,2
279637,marsh wren::27.0::1,1
279640,marsh wren::27.0::1,3
279641,marsh wren::27.0::1,5
279653,marsh wren::27.0::1,5
284243,marsh wren::11.0::1,3
288005,marsh wren::32.0::1,2
288793,marsh wren::33.0::1,4
289010,marsh wren::5.0::1,2
302318,marsh wren::32.0::1,2
31173,marsh wren::23.0::1,5
31174,marsh wren::23.0::1,4
31175,marsh wren::0.0::1,4
313477,marsh wren::26.0::1,3
315088,marsh wren::26.0::1,2
316534,marsh wren::33.0::0,5
316630,marsh wren::22.0::0,3
317164,marsh wren::37.0::0,2
317201,marsh wren::32.0::1,3
318364,marsh wren::32.0::1,5
323823,marsh wren::22.0::0,1
342554,marsh wren::18.0::0,1
348696,marsh wren::11.0::1,2
348697,marsh wren::11.0::0,1
348698,marsh wren::11.0::0,4
348846,marsh wren::11.0::1,3
348847,marsh wren::11.0::1,2
356609,marsh wren::18.0::1,5
356610,marsh wren::18.0::1,2
357649,marsh wren::32.0::1,1
357652,marsh wren::32.0::1,1
357654,marsh wren::32.0::1,5
357656,marsh wren::32.0::1,3
358845,marsh wren::32.0::1,4
360923,marsh wren::33.0::1,1
361349,marsh wren::30.0::1,3
368515,marsh wren::37.0::0,1
368738,marsh wren::16.0::1,4
377868,marsh wren::15.0::0,2
377871,marsh wren::15.0::0,1
381074,marsh wren::18.0::1,3
381075,marsh wren::18.0::1,2
386079,marsh wren::9.0::1,3
388729,marsh wren::30.0::1,2
390100,marsh wren::32.0::0,2
398301,marsh wren::33.0::1,2
39926,marsh wren::32.0::1,3
404966,marsh wren::29.0::1,5
406318,marsh wren::10.0::1,2
407022,marsh wren::18.0::1,1
411389,marsh wren::16.0::1,3
416447,marsh wren::37.0::1,4
417865,marsh wren::22.0::1,1
417866,marsh wren::22.0::1,5
419373,marsh wren::18.0::1,1
419375,marsh wren::18.0::1,3
433084,marsh wren::30.0::1,2
43422,marsh wren::23.0::1,2
434239,marsh wren::10.0::1,4
436849,marsh wren::9.0::1,1
451009,marsh wren::32.0::1,5
451587,marsh wren::31.0::1,1
451589,marsh wren::31.0::1,5
451703,marsh wren::15.0::1,2
451704,marsh wren::32.0::1,4
452109,marsh wren::33.0::1,3
452562,marsh wren::33.0::1,2
452563,marsh wren::33.0::1,5
459189,marsh wren::33.0::1,3
465639,marsh wren::32.0::0,4
466051,marsh wren::5.0::1,3
469898,marsh wren::32.0::0,3
481192,marsh wren::32.0::0,1
481193,marsh wren::32.0::0,5
482806,marsh wren::32.0::1,2
490352,marsh wren::29.0::1,3
500663,marsh wren::11.0::1,3
500664,marsh wren::11.0::1,4
500665,marsh wren::11.0::1,5
500666,marsh wren::11.0::1,2
500667,marsh wren::11.0::1,2
500669,marsh wren::11.0::1,1
500670,marsh wren::11.0::1,1
500671,marsh wren::11.0::1,4
500673,marsh wren::11.0::1,5
501012,marsh wren::11.0::1,4
510552,marsh wren::9.0::1,1
511290,marsh wren::33.0::0,3
513607,marsh wren::33.0::1,4
513608,marsh wren::33.0::1,2
513609,marsh wren::33.0::1,2
513610,marsh wren::33.0::1,3
513611,marsh wren::33.0::1,3
513618,marsh wren::33.0::1,5
516247,marsh wren::33.0::0,1
526178,marsh wren::30.0::1,5
533798,marsh wren::32.0::1,1
538054,marsh wren::5.0::1,1
53855,marsh wren::33.0::0,2
550988,marsh wren::18.0::1,5
558240,marsh wren::29.0::1,2
558337,marsh wren::9.0::1,4
565791,marsh wren::18.0::0,2
570700,marsh wren::10.0::1,3
571663,marsh wren::27.0::1,3
573244,marsh wren::22.0::1,2
57378,marsh wren::30.0::1,1
577533,marsh wren::9.0::0,2
577534,marsh wren::9.0::0,4
577535,marsh wren::9.0::0,3
577536,marsh wren::9.0::0,1
577538,marsh wren::9.0::0,1
578256,marsh wren::9.0::1,3
578268,marsh wren::9.0::1,5
578280,marsh wren::9.0::1,1
578285,marsh wren::9.0::1,4
578287,marsh wren::9.0::1,2
580995,marsh wren::18.0::1,1
582233,marsh wren::5.0::1,5
583937,marsh wren::5.0::1,3
585531,marsh wren::32.0::1,3
587671,marsh wren::30.0::1,1
591813,marsh wren::33.0::1,1
592115,marsh wren::29.0::1,1
592791,marsh wren::32.0::1,1
595830,marsh wren::29.0::1,4
596197,marsh wren::15.0::1,5
607069,marsh wren::27.0::1,4
618333,marsh wren::34.0::1,2
618336,marsh wren::34.0::1,1
618338,marsh wren::34.0::1,4
621186,marsh wren::33.0::1,1
627817,marsh wren::32.0::1,5
639319,marsh wren::33.0::1,2
642089,marsh wren::33.0::1,2
646026,marsh wren::32.0::1,3
649384,marsh wren::33.0::1,1
65357,marsh wren::15.0::1,2
659928,marsh wren::5.0::1,1
660105,marsh wren::0.0::1,2
664467,marsh wren::0.0::1,1
664468,marsh wren::0.0::1,1
666413,marsh wren::0.0::1,3
690415,marsh wren::5.0::1,4
690416,marsh wren::5.0::1,3
690675,marsh wren::9.0::0,5
691622,marsh wren::30.0::1,4
701242,marsh wren::34.0::1,3
703312,marsh wren::5.0::1,5
703970,marsh wren::33.0::1,4
708378,marsh wren::9.0::1,4
708379,marsh wren::9.0::1,5
708380,marsh wren::9.0::1,5
71071,marsh wren::30.0::0,1
712732,marsh wren::26.0::1,1
724838,marsh wren::32.0::1,2
730967,marsh wren::32.0::1,1
730974,marsh wren::30.0::1,3
730975,marsh wren::30.0::1,5
731465,marsh wren::5.0::1,5
731467,marsh wren::5.0::1,2
734883,marsh wren::23.0::1,3
735865,marsh wren::37.0::1,5
737148,marsh wren::5.0::1,1
737149,marsh wren::5.0::1,4
737558,marsh wren::0.0::1,5
739124,marsh wren::16.0::1,5
752994,marsh wren::32.0::1,4
754465,marsh wren::9.0::1,3
76699,marsh wren::28.0::0,2
778499,marsh wren::32.0::1,1
784047,marsh wren::22.0::1,4
803463,marsh wren::33.0::1,3
806279,marsh wren::33.0::1,5
806281,marsh wren::33.0::1,5
819031,marsh wren::12.0::1,2
82740,marsh wren::9.0::1,1
86155,marsh wren::23.0::0,1
86156,marsh wren::23.0::0,5
86158,marsh wren::23.0::0,4
861975,marsh wren::30.0::1,4
882207,marsh wren::37.0::1,2
900080,marsh wren::32.0::1,2
909123,marsh wren::9.0::1,2
909301,marsh wren::32.0::1,3
909302,marsh wren::32.0::1,2
909303,marsh wren::32.0::1,4
929759,marsh wren::10.0::1,1
978121,marsh wren::32.0::0,2
1000886,song sparrow::32.0::4,4
1001715,song sparrow::30.0::1,3
1001717,song sparrow::30.0::0,4
1005250,song sparrow::29.0::2,1
1007101,song sparrow::15.0::2,1
1010834,song sparrow::17.0::2,1
1011680,song sparrow::5.0::4,3
1011684,song sparrow::5.0::4,2
1016550,song sparrow::24.0::5,3
10174,song sparrow::13.0::1,3
1018183,song sparrow::5.0::1,5
1027844,song sparrow::13.0::4,2
1027846,song sparrow::13.0::4,3
102948,song sparrow::15.0::0,2
103198,song sparrow::18.0::4,5
103204,song sparrow::18.0::4,2
103338,song sparrow::18.0::4,3
103339,song sparrow::18.0::4,4
103449,song sparrow::18.0::4,1
1044095,song sparrow::29.0::1,2
1051588,song sparrow::26.0::5,1
1056054,song sparrow::5.0::4,5
105818,song sparrow::22.0::4,1
1074158,song sparrow::33.0::4,4
1076280,song sparrow::33.0::4,5
1080700,song sparrow::33.0::5,2
1085542,song sparrow::16.0::5,4
1086991,song sparrow::33.0::5,1
1089602,song sparrow::32.0::5,1
1089603,song sparrow::32.0::5,2
1091442,song sparrow::23.0::5,2
1092304,song sparrow::34.0::5,2
1094794,song sparrow::5.0::5,3
1096226,song sparrow::5.0::2,3
1102430,song sparrow::5.0::3,5
111286,song sparrow::34.0::2,1
111287,song sparrow::34.0::5,3
111288,song sparrow::34.0::5,5
111289,song sparrow::34.0::5,2
111640,song sparrow::34.0::2,2
111641,song sparrow::34.0::5,3
111642,song sparrow::34.0::0,4
111643,song sparrow::34.0::5,2
111644,song sparrow::34.0::0,3
111645,song sparrow::34.0::5,1
111646,song sparrow::34.0::5,5
111647,song sparrow::34.0::1,1
111648,song sparrow::34.0::1,2
111649,song sparrow::34.0::1,3
111650,song sparrow::34.0::1,5
111651,song sparrow::34.0::1,1
111652,song sparrow::34.0::1,4
111653,song sparrow::34.0::1,3
111654,song sparrow::34.0::1,4
111655,song sparrow::34.0::1,4
111665,song sparrow::34.0::1,2
111666,song sparrow::34.0::1,3
111667,song sparrow::34.0::1,1
111668,song sparrow::34.0::1,2
111669,song sparrow::34.0::1,4
111670,song sparrow::34.0::1,3
111671,song sparrow::34.0::0,5
121279,song sparrow::33.0::5,4
121280,song sparrow::33.0::5,1
121281,song sparrow::33.0::5,3
121282,song sparrow::33.0::5,4
121701,song sparrow::33.0::2,2
125261,song sparrow::32.0::5,2
125463,song sparrow::32.0::5,3
125704,song sparrow::32.0::3,2
125706,song sparrow::9.0::0,1
125708,song sparrow::9.0::1,1
125710,song sparrow::32.0::5,5
125711,song sparrow::32.0::5,1
125712,song sparrow::15.0::5,2
125713,song sparrow::32.0::5,1
125714,song sparrow::32.0::1,1
125717,song sparrow::9.0::1,3
125718,song sparrow::9.0::1,1
125721,song sparrow::32.0::1,3
125723,song sparrow::32.0::0,3
128238,song sparrow::32.0::1,3
128254,song sparrow::32.0::1,1
128904,song sparrow::32.0::5,5
129258,song sparrow::23.0::3,1
129646,song sparrow::32.0::5,4
130247,song sparrow::23.0::5,4
131646,song sparrow::23.0::5,2
131649,song sparrow::23.0::5,1
132874,song sparrow::12.0::5,2
133566,song sparrow::29.0::1,4
133568,song sparrow::29.0::1,3
134020,song sparrow::30.0::1,4
134164,song sparrow::33.0::5,3
134180,song sparrow::33.0::5,1
135358,song sparrow::33.0::5,3
13690,song sparrow::28.0::5,4
138720,song sparrow::32.0::5,3
139825,song sparrow::18.0::5,3
140977,song sparrow::28.0::1,3
140980,song sparrow::30.0::2,5
141895,song sparrow::29.0::1,1
142619,song sparrow::12.0::5,2
142620,song sparrow::12.0::5,3
142621,song sparrow::12.0::5,1
143923,song sparrow::33.0::5,3
143924,song sparrow::33.0::5,5
144116,song sparrow::33.0::5,4
149902,song sparrow::28.0::5,2
149903,song sparrow::28.0::1,4
149904,song sparrow::30.0::5,5
153381,song sparrow::28.0::5,1
153382,song sparrow::28.0::2,1
153555,song sparrow::30.0::5,5
153962,song sparrow::28.0::0,3
16879,song sparrow::23.0::5,1
16922,song sparrow::23.0::5,4
16923,song sparrow::23.0::3,2
16972,song sparrow::22.0::2,1
171626,song sparrow::28.0::1,2
172442,song sparrow::18.0::5,2
172792,song sparrow::5.0::0,2
176542,song sparrow::32.0::5,5
177095,song sparrow::28.0::5,3
179182,song sparrow::28.0::0,1
179952,song sparrow::23.0::0,4
180587,song sparrow::13.0::0,1
181738,song sparrow::30.0::1,5
182170,song sparrow::33.0::5,3
183355,song sparrow::33.0::2,3
18387,song sparrow::28.0::5,2
18388,song sparrow::28.0::5,3
184980,song sparrow::18.0::1,1
185279,song sparrow::17.0::2,2
188370,song sparrow::28.0::3,2
189286,song sparrow::29.0::0,3
190448,song sparrow::30.0::3,2
190476,song sparrow::30.0::3,1
193953,song sparrow::5.0::1,5
193954,song sparrow::5.0::1,2
195046,song sparrow::5.0::5,5
202204,song sparrow::30.0::5,4
205806,song sparrow::16.0::5,1
205810,song sparrow::16.0::5,3
206688,song sparrow::5.0::1,2
210946,song sparrow::22.0::5,5
211454,song sparrow::28.0::5,4
216414,song sparrow::25.0::0,1
216415,song sparrow::25.0::5,1
216416,song sparrow::25.0::0,2
219344,song sparrow::32.0::5,1
225617,song sparrow::33.0::0,5
225618,song sparrow::32.0::0,2
225619,song sparrow::34.0::0,2
225625,song sparrow::25.0::5,2
232626,song sparrow::32.0::5,3
232962,song sparrow::33.0::1,3
232963,song sparrow::33.0::5,3
235955,song sparrow::32.0::5,1
246812,song sparrow::5.0::1,4
251961,song sparrow::5.0::0,3
253526,song sparrow::5.0::0,3
256588,song sparrow::12.0::2,3
256777,song sparrow::5.0::5,4
256950,song sparrow::29.0::5,4
263147,song sparrow::9.0::5,1
263148,song sparrow::9.0::3,2
269172,song sparrow::5.0::5,3
269187,song sparrow::9.0::5,3
270532,song sparrow::32.0::0,2
276990,song sparrow::23.0::2,2
277033,song sparrow::5.0::1,1
282512,song sparrow::23.0::5,5
282625,song sparrow::32.0::5,1
282762,song sparrow::32.0::5,2
283601,song sparrow::33.0::2,5
283691,song sparrow::33.0::5,5
283783,song sparrow::32.0::5,2
286980,song sparrow::33.0::5,1
287998,song sparrow::27.0::1,1
288000,song sparrow::27.0::1,3
288255,song sparrow::27.0::1,2
289005,song sparrow::5.0::0,2
289006,song sparrow::5.0::3,2
289015,song sparrow::33.0::1,4
289020,song sparrow::33.0::3,1
294781,song sparrow::30.0::3,3
297482,song sparrow::32.0::2,5
304146,song sparrow::16.0::5,4
306140,song sparrow::32.0::0,4
306141,song sparrow::32.0::0,5
306748,song sparrow::26.0::5,2
309650,song sparrow::23.0::0,3
31006,song sparrow::0.0::2,1
31091,song sparrow::12.0::2,1
310927,song sparrow::22.0::5,1
311716,song sparrow::23.0::0,5
311943,song sparrow::16.0::0,3
312035,song sparrow::32.0::5,3
31273,song sparrow::23.0::5,1
312736,song sparrow::23.0::5,3
31274,song sparrow::12.0::5,5
317085,song sparrow::32.0::3,2
318892,song sparrow::23.0::0,1
31959,song sparrow::34.0::2,3
320469,song sparrow::24.0::5,4
320719,song sparrow::30.0::5,4
321340,song sparrow::16.0::5,2
321385,song sparrow::18.0::5,1
322180,song sparrow::9.0::3,1
322688,song sparrow::34.0::1,2
322692,song sparrow::34.0::1,1
322698,song sparrow::34.0::1,5
325340,song sparrow::16.0::5,3
325378,song sparrow::32.0::5,5
325702,song sparrow::30.0::5,2
327795,song sparrow::24.0::1,1
327922,song sparrow::23.0::2,1
328277,song sparrow::18.0::1,2
328665,song sparrow::24.0::2,2
332641,song sparrow::22.0::5,2
333536,song sparrow::9.0::5,5
333640,song sparrow::9.0::2,2
334610,song sparrow::32.0::1,2
336819,song sparrow::29.0::1,2
339659,song sparrow::30.0::5,2
340280,song sparrow::30.0::0,2
341891,song sparrow::30.0::2,4
352810,song sparrow::34.0::0,1
355001,song sparrow::10.0::5,1
358837,song sparrow::32.0::0,1
358913,song sparrow::33.0::0,1
35904,song sparrow::5.0::5,4
35905,song sparrow::5.0::2,2
361491,song sparrow::29.0::5,5
362469,song sparrow::22.0::5,4
362470,song sparrow::22.0::5,2
362513,song sparrow::16.0::5,2
362514,song sparrow::16.0::0,1
363141,song sparrow::16.0::5,5
363142,song sparrow::16.0::5,1
363608,song sparrow::29.0::5,1
363609,song sparrow::29.0::5,4
36619,song sparrow::32.0::5,2
36620,song sparrow::29.0::1,3
366392,song sparrow::24.0::5,4
366393,song sparrow::24.0::5,2
366394,song sparrow::24.0::2,1
366396,song sparrow::24.0::1,2
366597,song sparrow::24.0::5,3
366598,song sparrow::24.0::5,2
366606,song sparrow::24.0::2,4
366698,song sparrow::24.0::2,3
368065,song sparrow::9.0::5,1
368073,song sparrow::32.0::2,2
373505,song sparrow::22.0::0,2
374048,song sparrow::15.0::2,1
374115,song sparrow::10.0::0,2
374116,song sparrow::10.0::2,1
374117,song sparrow::10.0::0,1
375515,song sparrow::22.0::3,2
375516,song sparrow::22.0::5,5
375662,song sparrow::24.0::5,1
375748,song sparrow::15.0::0,1
375750,song sparrow::15.0::0,3
376028,song sparrow::34.0::5,4
379143,song sparrow::15.0::0,5
381508,song sparrow::15.0::3,1
381554,song sparrow::10.0::2,2
381570,song sparrow::15.0::0,4
381583,song sparrow::30.0::2,1
382881,song sparrow::22.0::0,1
383481,song sparrow::19.0::4,2
383971,song sparrow::24.0::5,5
384033,song sparrow::23.0::2,2
385859,song sparrow::28.0::2,2
386586,song sparrow::5.0::5,1
388616,song sparrow::23.0::5,2
388773,song sparrow::23.0::0,2
390281,song sparrow::23.0::3,4
393994,song sparrow::29.0::1,5
393996,song sparrow::29.0::1,4
406666,song sparrow::18.0::2,3
407930,song sparrow::13.0::2,3
408014,song sparrow::32.0::0,3
408093,song sparrow::32.0::2,2
408126,song sparrow::32.0::5,5
408127,song sparrow::32.0::5,1
408128,song sparrow::32.0::5,4
408443,song sparrow::32.0::5,3
408445,song sparrow::32.0::5,4
408810,song sparrow::32.0::0,1
408811,song sparrow::32.0::4,3
408857,song sparrow::33.0::1,1
408859,song sparrow::33.0::0,1
412980,song sparrow::9.0::5,2
413798,song sparrow::32.0::3,1
416159,song sparrow::28.0::2,4
417336,song sparrow::15.0::2,3
418071,song sparrow::22.0::2,4
418339,song sparrow::12.0::2,2
420819,song sparrow::13.0::5,1
420846,song sparrow::13.0::2,2
421266,song sparrow::28.0::0,2
421296,song sparrow::28.0::3,5
422841,song sparrow::32.0::5,1
423504,song sparrow::5.0::1,3
425786,song sparrow::22.0::3,1
425799,song sparrow::33.0::0,3
426314,song sparrow::32.0::2,1
429249,song sparrow::23.0::5,3
429250,song sparrow::23.0::2,3
433075,song sparrow::30.0::2,1
43411,song sparrow::23.0::2,1
434169,song sparrow::29.0::1,5
439222,song sparrow::18.0::2,1
439802,song sparrow::29.0::5,5
445425,song sparrow::9.0::2,3
448960,song sparrow::32.0::5,5
452115,song sparrow::32.0::5,2
461612,song sparrow::30.0::3,4
462899,song sparrow::30.0::5,2
465992,song sparrow::19.0::4,1
466633,song sparrow::5.0::5,5
467022,song sparrow::32.0::3,1
469658,song sparrow::13.0::2,4
469877,song sparrow::32.0::1,4
473371,song sparrow::33.0::5,5
475005,song sparrow::22.0::5,1
475137,song sparrow::22.0::4,3
477785,song sparrow::13.0::4,1
480223,song sparrow::29.0::5,4
480224,song sparrow::29.0::5,1
481115,song sparrow::32.0::2,3
482521,song sparrow::32.0::5,5
482639,song sparrow::29.0::5,2
483220,song sparrow::33.0::5,4
483881,song sparrow::30.0::1,1
483884,song sparrow::30.0::5,3
483978,song sparrow::32.0::5,5
486572,song sparrow::32.0::5,5
487047,song sparrow::13.0::2,3
488152,song sparrow::5.0::0,1
490351,song sparrow::29.0::0,1
490353,song sparrow::29.0::5,2
490927,song sparrow::32.0::5,1
493448,song sparrow::29.0::5,5
500924,song sparrow::29.0::5,2
509833,song sparrow::9.0::5,3
511137,song sparrow::34.0::2,5
511528,song sparrow::5.0::5,2
513824,song sparrow::32.0::5,4
52400,song sparrow::30.0::2,2
528026,song sparrow::29.0::5,1
533620,song sparrow::33.0::5,2
537951,song sparrow::29.0::1,1
539872,song sparrow::34.0::3,1
540252,song sparrow::5.0::2,3
540259,song sparrow::5.0::3,4
542596,song sparrow::33.0::5,3
543840,song sparrow::29.0::5,3
54422,song sparrow::28.0::3,4
544318,song sparrow::33.0::4,1
544320,song sparrow::33.0::2,1
545781,song sparrow::33.0::2,2
545906,song sparrow::5.0::4,2
545907,song sparrow::5.0::3,3
545908,song sparrow::5.0::1,2
546531,song sparrow::33.0::3,4
546735,song sparrow::23.0::2,5
548220,song sparrow::33.0::4,2
548591,song sparrow::29.0::3,2
549591,song sparrow::5.0::5,5
551290,song sparrow::29.0::5,2
554235,song sparrow::33.0::0,4
554248,song sparrow::33.0::4,3
555054,song sparrow::33.0::5,5
555832,song sparrow::33.0::5,1
555834,song sparrow::33.0::2,3
555836,song sparrow::33.0::3,2
555837,song sparrow::33.0::2,1
556904,song sparrow::32.0::5,1
557806,song sparrow::32.0::5,3
557836,song sparrow::5.0::5,1
558357,song sparrow::9.0::0,3
559026,song sparrow::32.0::5,4
559479,song sparrow::13.0::5,2
559521,song sparrow::33.0::5,2
559523,song sparrow::33.0::2,3
561356,song sparrow::32.0::5,3
562168,song sparrow::32.0::2,3
565240,song sparrow::33.0::5,5
565242,song sparrow::22.0::5,3
565508,song sparrow::33.0::2,4
565794,song sparrow::33.0::4,1
569960,song sparrow::23.0::2,4
572852,song sparrow::15.0::2,2
572964,song sparrow::13.0::1,1
574080,song sparrow::22.0::4,2
575024,song sparrow::9.0::0,2
575025,song sparrow::9.0::1,5
575028,song sparrow::9.0::1,3
575029,song sparrow::9.0::1,2
575030,song sparrow::9.0::1,1
575032,song sparrow::9.0::2,1
575033,song sparrow::9.0::1,4
575035,song sparrow::9.0::1,5
575037,song sparrow::9.0::1,4
575041,song sparrow::9.0::1,2
575046,song sparrow::9.0::1,2
576141,song sparrow::15.0::3,2
576142,song sparrow::15.0::5,1
578294,song sparrow::13.0::1,2
580051,song sparrow::9.0::5,4
580052,song sparrow::9.0::2,4
582139,song sparrow::33.0::5,4
582148,song sparrow::32.0::5,4
582154,song sparrow::5.0::5,4
582701,song sparrow::32.0::3,5
584830,song sparrow::32.0::5,4
585149,song sparrow::32.0::5,2
589294,song sparrow::30.0::5,1
591818,song sparrow::33.0::3,3
591827,song sparrow::33.0::0,2
596371,song sparrow::29.0::4,1
